Token		Lexeme
------------------------------
Identifier	max
Operator	=
Separator	(
Identifier	n
Integer		1
Operator	>
Separator	)
Identifier	n
Integer		2
Operator	?
Identifier	n
Integer		1
Separator	;
Identifier	n
Integer		2
Keyword		do
Separator	{
Keyword		if
Separator	(
Identifier	max
Operator	%
Identifier	n
Integer		1
Operator	=
Operator	=
Integer		0
Identifier	max
Operator	%
Identifier	n
Integer		2
Operator	=
Operator	=
Separator	)
Integer		0
Separator	{
Keyword		cout
Operator	<
Operator	<
Identifier	LCM
Operator	=
Operator	<
Operator	<
Separator	;
Identifier	max
Separator	;
Keyword		break
Separator	}
Keyword		else
Operator	+
Operator	+
Separator	;
Identifier	max
Separator	}
Keyword		while
Separator	(
Separator	)
Separator	;
Keyword		true
Keyword		return
Separator	;
Integer		0
Separator	}
